Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7927608232789212,0.6653225806451613,0.4411764705882353,0.5305466237942122,0.8432922576145082
Random Forest,0.7359829666430092,0.5016949152542373,0.7914438502673797,0.6141078838174274,0.8240667545015371
Gradient Boosting,0.8055358410220014,0.6748251748251748,0.516042780748663,0.5848484848484848,0.8475832493735307
