Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7416607523066004,0.5085324232081911,0.7967914438502673,0.6208333333333333,0.8483195122581312
Random Forest,0.7643718949609652,0.539622641509434,0.7647058823529411,0.6327433628318584,0.8444638197835128
Gradient Boosting,0.801277501774308,0.6566666666666666,0.5267379679144385,0.5845697329376854,0.843386550931308
